"filename", "language", "JavaScript", "CSS", "Python", "Database", "Properties", "HTML", "Batch", "XML", "PowerShell", "comment", "blank", "total"
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\css\style_nkl.css", "CSS", 0, 1045, 0, 0, 0, 0, 0, 0, 0, 61, 47, 1153
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\db\doctain.db", "Database", 0, 0, 0, 32652, 0, 0, 0, 0, 0, 0, 315, 32967
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\db\test.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 50, 17, 87
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\js\AdminPage.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 30
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\js\home.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 11, 30, 163
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\js\jscrpt_mg.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\js\login.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 55, 19, 86
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\static\js\signup.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 69, 19, 110
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 127, 0, 0, 0, 0, 0, 0, 46, 50, 223
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 4, 5, 14
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\__main__.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 13, 5, 32
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\__pip-runner__.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 6, 9, 38
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\__init__.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 6, 20
"c:\Users\USER\Documents\SDGP\Implementation\Front-end Flask\venv\Lib\site-packages\pip\_internal\build_env.py", "Python", 0, 0, 211, 0, 0, 0, 0, 0, 0, 45, 35, 291
